High,mean_2m,min_2m,max_2m,dewpoint_2m,total_precip,surf_press,mean_sea_press,u_wind,v_wind
2453.01,279.5641941,274.3996903,285.9120466,274.2122893,0.003891416,93207.35917,102323.2594,0.67076548,-0.294945587
2466.97,281.5867496,277.9710485,286.4455397,277.3588602,0.006182456,92625.23246,101585.6389,-0.082309597,1.040156703
2453.57,280.8042798,276.9476766,286.292105,275.8438504,0.003783356,92713.10593,101639.9174,-0.376638196,1.365027271
2553.93,279.7553336,275.9686862,285.1769815,274.5170448,0.002114562,92926.14959,101883.8478,0.088455827,1.015011793
2562.98,278.1418018,274.3682688,283.4542178,272.8813157,0.001964407,93314.43054,102351.1694,-0.424990643,0.460846825
2711.33,280.4827872,276.5161836,286.2882471,274.187826,0.00459265,92643.75265,101612.1412,0.39521269,0.080596276
2660.95,282.7734778,278.360281,288.8130797,276.6130975,0.001598996,92475.81315,101368.1744,1.087502494,0.347916165
2825.6,282.3318737,277.7513425,288.485637,276.2397473,0.001833459,92854.99922,101750.6557,1.147279689,1.096189872
2882.59,281.109935,276.5355044,287.0115522,274.9502518,0.002167275,93213.53706,102190.2733,0.912799367,1.127369236
2863.89,280.8763372,276.4047731,287.0442943,273.7690529,0.002559774,93065.25797,102035.1048,0.822228858,1.502856018
2985.93,279.9160392,274.5390722,286.7654162,269.9119651,0.000559917,93284.67241,102216.6323,0.416509302,0.019940558
3083.04,280.0232224,274.7187918,286.8410452,271.1981697,0.002221043,92989.22095,101953.7474,1.147989101,-0.5680076
3130.97,280.6564858,275.7205572,286.503376,272.7241882,0.004190495,92438.34372,101351.5223,1.673870171,0.030477975
3136.72,280.7374917,276.5173,286.4074876,273.8305818,0.002478377,92109.77243,101036.5393,2.047086946,0.40163645
3090.96,278.7824567,274.2111405,284.8802966,271.4632957,0.001787384,92367.65858,101389.4686,1.611780563,0.880601903
2959.72,276.1779892,270.8185458,283.1263129,266.6216395,0.000273584,93150.42253,102178.5053,1.956489997,-0.011539541
3097.07,274.8564443,269.6601292,281.6110786,266.1572229,0.001523448,93211.29383,102322.4917,1.962064989,-0.727578849
3182.51,274.9201631,270.6293836,280.6268998,267.6028272,0.001201314,93362.20287,102603.0322,0.89049635,-1.646063814
3246.99,276.7522633,272.9748742,281.7939121,270.1440645,0.002547338,92949.4076,102140.299,0.330217665,-2.02674382
3259.81,278.3147837,274.26889,283.5792506,271.9115869,0.003167526,92667.73996,101703.6751,1.286647512,0.062482865
3360.76,272.5794771,267.2017453,280.4318073,263.9066362,0.000241182,93824.55826,102999.0621,0.690852431,0.101730536
3389.15,271.384016,266.6076271,277.7382753,264.2941002,0.003042145,93889.13938,103200.3908,-0.212392493,-1.059481518
3393.52,272.9178788,268.7876683,278.401722,266.4268808,0.001585733,93555.93535,102821.5464,-0.02391524,-1.022908749
3375.01,275.8187796,271.4807232,281.4326715,269.7962157,0.002670351,93039.24687,102228.3379,0.276572832,-0.588282047
3380.69,271.2806048,266.2478583,278.5583907,264.2316103,0.000489151,93156.90973,102282.8204,0.949646503,0.606168522
3385.09,271.8130771,267.0930905,278.23896,266.6872057,0.003613875,92839.63694,102053.5243,0.96285382,-0.631418064
3381.47,274.6842383,270.2109726,280.109591,269.6152245,0.003881034,92670.11447,101804.2531,0.977005463,-0.432912081
3375.63,275.2410423,271.4844099,280.2838604,270.5269642,0.003825968,92930.66617,102112.0506,0.966166337,-0.341984461
3352.26,275.6790616,271.7510032,280.9497258,270.7651994,0.004630476,92935.09933,102078.9278,0.732281981,0.144947189
3341.42,274.449371,270.4970925,279.9506471,268.8821992,0.004406374,92009.3454,101036.1156,1.991663712,-0.656729596
3347.96,273.8733815,270.1802642,279.093161,269.0329774,0.006826032,91987.32493,101080.4165,1.482026,-0.214718589
3337.58,272.478473,268.9169887,277.7534586,267.0379487,0.004150023,92603.21972,101901.3099,0.809241468,-0.455288135
3306.92,274.2883044,270.2632469,279.2348591,268.179626,0.002415027,92615.27879,101895.4456,0.611312997,-0.66286801
3268.44,277.2556103,272.6956332,283.8359789,269.4449855,0.00093484,92156.91514,101206.9227,1.332651593,0.120549151
3282.33,275.5743942,271.9525753,280.5985964,270.4592082,0.001496738,93138.6392,102246.3666,0.618960564,-0.120355825
3285.91,274.6271756,271.427565,278.7620699,270.1433406,0.000681915,93007.61937,102120.063,0.112139736,-0.280139365
3293.47,274.6494849,271.4532852,278.6154592,269.9708124,0.001498382,92918.57773,102016.0987,0.28157126,-0.697592751
3285.78,275.7424806,272.6034463,279.8334791,271.116056,0.002590479,92786.61367,101874.5868,0.858884461,-0.590604493
3258.85,276.8047109,273.7662514,280.8922806,272.6488993,0.00136132,92646.86418,101667.1044,1.139641872,-0.082774221
3333.18,276.5527207,273.2893907,280.9330565,272.2394637,0.003371223,92858.64424,101879.1603,0.103110329,0.122885994
3326.88,275.6620069,272.4312789,280.1185174,270.9643112,0.003012836,93002.9457,102070.4252,0.180044173,-0.056654461
3337.77,274.3115732,270.8721405,278.9746974,269.5193672,0.002265775,92948.14439,101990.4282,0.791769596,1.3355816
3329.79,272.0393507,268.5280819,277.1002947,266.1740448,0.001120968,93426.1933,102515.5394,0.157041817,1.104489793
3329.88,272.2196314,268.4682,277.2732289,266.8104776,0.003316556,93341.6934,102505.1493,-0.450334585,0.813255604
3317.11,272.8739059,268.7454879,278.6124035,267.3729962,0.002696558,93302.93854,102490.1385,-0.08086188,-0.203727188
3298.66,274.5215895,270.5074011,279.3591034,269.4527058,0.00099032,92914.57428,102092.9984,0.498171734,0.455254624
3294.25,275.2846938,271.6527069,280.0952808,270.5847105,0.0032237,92801.67725,101915.4113,0.754497584,1.10424527
3288.13,274.3504936,270.9610095,279.1084559,269.6817526,0.002192372,92853.72912,101981.2454,0.318238505,1.4508203
3282.99,275.2382185,271.3189171,280.2150159,270.1833444,0.003634456,92966.68811,102171.7824,0.275617454,0.835952346
3275.58,275.2205429,270.8462883,280.7446672,268.4152742,0.001067044,92695.19289,101758.5412,0.420949305,1.680210608
3267.07,274.0121596,269.3033126,280.1207264,266.2345947,0.00091094,92884.86935,101919.4975,0.811458332,1.158784749
3244.91,275.3785137,270.8129752,281.1327327,267.7282504,0.001458846,93120.06643,102214.6527,1.665554466,0.249051492
3246.84,275.1147967,270.5553281,280.8867223,268.2391841,0.001234275,93181.05362,102329.1387,2.074180063,0.319594981
3246.15,277.2851586,273.9966024,281.6329199,273.032664,0.003344939,92425.95502,101490.6164,1.48450012,-0.028827421
3258.14,277.2088639,274.1003012,281.1241871,272.1820923,0.002808183,91840.32042,100811.7021,1.9611255,0.887050641
3231.72,273.3449802,269.6084099,278.3421226,267.2520117,0.001384193,92607.66676,101788.6447,2.05318092,-0.060737991
3240.92,274.5269308,271.0575464,278.8683939,269.6214162,0.003706099,92422.90302,101630.2909,1.748987144,-0.698405503
3247.93,275.9367312,272.5868964,280.4480842,272.7453851,0.001625395,92877.83885,102003.5419,0.116669434,0.759178883
3240.08,276.7600655,273.1668046,281.4554603,273.0864096,0.001043106,92658.45123,101754.3909,0.272815446,0.364207782
3226.43,277.5260555,273.7956978,282.863955,272.326395,0.001338206,92440.63627,101379.9893,-0.08793458,0.441555755
3227.78,277.3000225,273.2529223,283.2355414,271.1892763,0.003048645,92662.11297,101578.4859,0.156753116,0.558925582
3225.65,274.0362987,269.7511028,279.9658353,267.2226066,0.001679502,93409.85226,102506.7759,0.095596057,1.006061056
3205.48,271.6522985,267.0533478,278.0999985,264.0407602,0.000909688,93101.02669,102209.7192,0.543047305,0.93304594
3198.48,270.8884077,266.4589136,276.9784628,263.4009848,0.000390472,93121.71051,102315.0557,1.134440924,-0.086344178
3198.22,271.7708223,267.7085077,276.9043196,266.2934681,0.003103,93204.84253,102522.0139,1.10523546,-0.800354467
3197.71,272.7842255,269.1805491,277.490244,268.3368649,0.002702637,92925.84615,102193.4483,0.853454565,-0.32965103
3182.68,276.0376461,272.5298415,280.7851952,271.6052457,0.003485062,92811.07909,101836.0766,0.693192577,0.624583334
3176.28,274.2395686,270.3551011,279.6902839,269.0118397,0.002018896,93323.39442,102401.292,0.180890459,1.177088268
3143.98,272.1662134,268.4309003,277.6149996,267.2776218,0.001313297,93429.54427,102587.6296,0.75791674,0.350145844
3142.12,273.9187054,269.4444718,279.7047052,269.685784,0.003220197,92924.02749,102098.6359,1.48642675,-0.265424135
3148.87,277.1277091,273.1352466,281.7587348,273.2793425,0.002861331,92446.77491,101509.6135,1.236428323,0.277681027
3150.6,277.1191553,273.3053156,282.0756759,272.6587748,0.000804399,93119.18289,102189.9651,0.470841733,-0.023014981
3119.45,277.4273044,273.3966727,282.6206703,272.5021097,0.000913444,92516.42617,101485.5757,1.222547671,0.278603224
3119.38,277.1144596,273.3712926,282.279221,271.8681978,0.001061033,92347.42954,101311.3578,1.880417751,0.098277041
3094.97,275.6156059,271.7853127,281.2861543,270.2464343,0.000471294,92602.49706,101612.356,1.863647206,0.046379019
3144.31,274.1882192,270.3454519,279.6553275,268.6999328,0.001759136,92759.70091,101854.5567,1.299432642,-0.474558115
3150.3,275.1140926,272.419782,278.6965964,271.6373634,0.003553963,92728.26511,101808.1865,-0.959851855,0.477459098
3154.26,276.4685681,272.7375406,281.1217581,270.4557318,0.005540454,92134.41347,101231.3809,0.159611835,0.189682399
3142.69,277.507133,273.9378963,282.2614309,271.9381886,0.002323741,91981.9396,101022.4635,0.632965231,0.364192604
3133.83,278.6129487,274.2526377,284.890127,272.1098632,0.000954052,91986.86341,100905.7235,1.998200105,0.26063916
